VarA,VarB,rho.spear,p.spear,fdr.spear,rho.clr,p.clr,fdr.clr,sparcc,p.sparcc,fdr.sparcc
SBR1093,SBR1093,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Cyanobacteria,SBR1093,0.6395624220667073,6.29926648785167e-30,3.3536939893069455e-29,0.6395624220667073,6.29926648785167e-30,3.3536939893069455e-29,0.7146555129234582,0,0
Cyanobacteria,Cyanobacteria,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Firmicutes,SBR1093,0.4967926860094374,7.318515360344421e-17,2.0046368160943415e-16,0.4967926860094374,7.318515360344421e-17,2.0046368160943415e-16,0.47198890583649117,0,0
Cyanobacteria,Firmicutes,0.6659822700812548,3.711123352355326e-33,2.158160964908174e-32,0.6659822700812548,3.711123352355326e-33,2.158160964908174e-32,0.8308551369329357,0,0
Firmicutes,Firmicutes,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Euryarchaeota,SBR1093,0.4735883119908876,2.8712950611045307e-15,7.187745252301408e-15,0.4735883119908876,2.8712950611045307e-15,7.187745252301408e-15,0.3490083368067693,0,0
Cyanobacteria,Euryarchaeota,0.41280731905241536,1.26577715042315e-11,2.558629747914175e-11,0.41280731905241536,1.26577715042315e-11,2.558629747914175e-11,0.49521412139323534,0,0
Euryarchaeota,Firmicutes,0.5845900415306169,3.965608146489006e-24,1.577894609866152e-23,0.5845900415306169,3.965608146489006e-24,1.577894609866152e-23,0.22583126378395002,0,0
Euryarchaeota,Euryarchaeota,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Actinobacteria,SBR1093,0.5789809138819546,1.3472123919983544e-23,5.196390654850795e-23,0.5789809138819546,1.3472123919983544e-23,5.196390654850795e-23,0.5717675181027351,0,0
Actinobacteria,Cyanobacteria,0.5002736896970628,4.1186903745160277e-17,1.1447536482110724e-16,0.5002736896970628,4.1186903745160277e-17,1.1447536482110724e-16,0.658970003913832,0,0
Actinobacteria,Firmicutes,0.7539529186489806,8.645970055469855e-47,7.600410885971174e-46,0.7539529186489806,8.645970055469855e-47,7.600410885971174e-46,0.473871581904728,0,0
Actinobacteria,Euryarchaeota,0.7680497434430336,1.6025852420146169e-49,1.5532749268757055e-48,0.7680497434430336,1.6025852420146169e-49,1.5532749268757055e-48,0.44454451575700016,0,0
Actinobacteria,Actinobacteria,0.9999999999999998,0,0,0.9999999999999998,0,0,1,1,1
Bacteroidetes,SBR1093,0.3222888533143633,2.1155798612367485e-7,3.2507690550711015e-7,0.3222888533143633,2.1155798612367485e-7,3.2507690550711015e-7,0.37837282968405583,0,0
